Brand,Title,Category,Price,Count,Quantity,Unit,Image Link,Url,About the Product,Other Product Info,EAN Code
Twinings,"Twinings English Breakfast Tea, 200 g (100 Bags x 2 g each)",beverages -> tea,919.08,1,200,g,"['https://www.bigbasket.com/media/uploads/p/l/40208101-2_1-twinings-english-breakfast-tea.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40208101-4_1-twinings-english-breakfast-tea.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40208101-6_1-twinings-english-breakfast-tea.jpg', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7', 'https://www.bigbasket.com/media/uploads/p/l/40208101_1-twinings-english-breakfast-tea.jpg']",https://www.bigbasket.com/pd/40208101/twinings-english-breakfast-tea-200-g/?nc=cl-prod-list&t_pos_sec=3&t_pos_item=3&t_s=English+Breakfast+Tea,"Twinings English Breakfast Tea was originally blended to complement the traditional, hearty English breakfast, from which its name derives. The refreshing and invigorating flavour makes this black tea into a delightful blend. English Breakfast tea is a skilful blend of the finest black teas, sourced from select gardens across the world to create an invigorating cup of tea. From the first sip of this exclusive blend, you can taste the richness in flavours and aroma. This cup of tea is the perfect companion for that ‘me-time’ moment or to enjoy with friends and family.
Revive Your Senses With Each Sip: Our English Breakfast Tea is an exquisite blend of the finest black teas. This blend is an invigorating experience and the perfect companion not only for your morning breakfast, but it is also great to enjoy a cup at any time of the day.","EAN Code: 40208101  Country Of Origin: India  FSSAI Number: 10012031000102  Manufactured & Marketed by: Twinings Private Ltd, G3-41, New B.B.T.Rod, Maheshtala, Kolkata- 700 141, West Bengal.  Best Before __PSL__  from the date of delivery  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com",40208101
Tata Tea Kanan Devan,"Tata Tea Kanan Devan Golden Leaf Tea, 500 g",beverages -> tea,261.25,1,500,g,"['https://www.bigbasket.com/media/uploads/p/l/40026308-2_1-tata-tea-kanan-devan-tea-golden-leaf.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40026308-4_1-tata-tea-kanan-devan-tea-golden-leaf.jpg', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7', 'https://www.bigbasket.com/media/uploads/p/l/40026308_3-tata-tea-kanan-devan-tea-golden-leaf.jpg']",https://www.bigbasket.com/pd/40026308/tata-tea-kanan-devan-tea-golden-leaf-500-g/?nc=cl-prod-list&t_pos_sec=3&t_pos_item=9&t_s=Golden+Leaf+Tea,"Tata Tea Kanan Devan offers a strong cup of tea. Kanan Devan Tea from the house of Tata Tea, gives the best quality teas from Kanan Devan Hills, one of the highest hills in Kerala. Tata Tea Kanan Devan tea goes forward into the future with a strong and confident new image and continues to live up to its promise of inimitable taste and an element of superlative freshness which is attributed to the altitude of the hills on the elevated promontory at the Kanan Devan hills.  The brand reigns supreme in Kerala’s tea arena with its matchless taste, which is attributed to its source, the pristine Kanan Devan Hills in Munnar. The elevation of the Kanan Devan Hills makes the product unique, as the hills offer ideal tea growing conditions which give the Tata Tea Kanan Devan tea its distinctive taste, which consumers cherish. Kanan devan was launched twenty-five years ago,","EAN Code: 40026308  Country Of Origin: India Manufactured & Marketed by: Tata Global Beverages Ltd, 3rd Floor Block C, Kirloskar Business Park, Hebbal, Bengaluru 560024  Best before __PSL__days from delivery date  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com",40026308
Dabur,"Dabur Glucoplus C Instant Glucose - Juicy Orange Flavour, 400 g Jar","beverages -> nutrition mix, supplement",141,1,,pc,"['https://www.bigbasket.com/media/uploads/p/l/40304746-2_1-dabur-glucoplus-c-instant-glucose-juicy-orange-flavour.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40304746-4_1-dabur-glucoplus-c-instant-glucose-juicy-orange-flavour.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40304746-6_1-dabur-glucoplus-c-instant-glucose-juicy-orange-flavour.jpg', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7']",https://www.bigbasket.com/pd/40304746/dabur-glucoplus-c-instant-glucose-juicy-orange-flavour-400-g-jar/?nc=cl-prod-list&t_pos_sec=3&t_pos_item=28&t_s=Glucoplus+C+Instant+Glucose+-+Juicy+Orange+Flavour,"Dabur Glucoplus C Orange provides you with instant energy in a delicious orange flavour to quickly recover from fatigue. With 25% more glucose in every sip, along with essential nutrients, it re-energizes you from tiredness.","EAN Code: 40304746  FSSAI NO: 10012062000022 Manufactured, Marketed by: Dabur India Ltd. , Village Manakpur, Tehsil Baddi, Distt. Solan (H. P. ) - 174101 Country of origin: India Best before 05-02-2025 For Queries/Feedback/Complaints, Contact our Customer Care Executive at Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket. com",40304746
TE-A-ME,"TE-A-ME Tea - Earl Grey, 50 g",gourmet & world food -> drinks & beverages,,1,,pc,"['https://www.bigbasket.com/media/uploads/p/l/40199647_1-te-a-me-earl-grey-tea.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40199647-2_1-te-a-me-earl-grey-tea.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40199647-3_1-te-a-me-earl-grey-tea.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40199647-4_1-te-a-me-earl-grey-tea.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40199647-5_1-te-a-me-earl-grey-tea.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40199647-6_1-te-a-me-earl-grey-tea.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40199647-7_1-te-a-me-earl-grey-tea.jpg', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7']",https://www.bigbasket.com/pd/40199647/te-a-me-earl-grey-tea-50-g/?nc=cl-prod-list&t_pos_sec=3&t_pos_item=17&t_s=Tea+-+Earl+Grey,"Tea Profile: Te-A-Me Teas bring Loose Leaf Tea teas & infusions, which are exotic teas & infusions sealed in brightly coloured, airtight and wholesome Tin packaging.
Profile: Inspire your taste buds with this lively blend of Earl Grey, crafted by experts using fine handpicked Black Tea leaves, perfectly paired with a premium quality Bergamot. Tropical Bergamot gives Earl Grey tea its signature flavour and aroma. Dive into this richly coloured, deeply fragrant and royal experience of the Tea. Bergamot is a fragrant citrus fruit from the tropics. Its aroma in the tea may offer therapeutic effects on the mind and body. Bergamot fruit is a good source of vitamin C, potassium, vitamins B1, B2, and A and thus offer a range of health benefits.

By improving the circulation of the blood, this black tea blend may generate a feeling of freshness and energy.
Primarily due to the citrus extract of Bergamot in the Tea, Earl Grey may improve metabolism that may help in weight loss.
Our exotic teas & infusions are carefully packaged in beautiful airtight Tin containers making it not only a perfect storage option but also an ideal gifting choice for any tea lover.
A delicious way to well being, TE-A-ME Teas brings you a range of Loose Leaf Teas to chose from, that suite your mood, your health needs, your taste and your palette. Try more exotic teas & infusions like Sencha, Darjeeling, Kashmiri Kahwa, Rooibos Vanilla, Rooibos Orange Cinnamon, Tulsi Spice Mix, Jasmine Green Tea, Lemon Ginger and Green tea.
Fresher the tea is, Healthier it is. TE-A-ME Loose leaf Teas are Processed and Packaged at the Factory itself. This process locks in the freshness. We are passionate about every little detail of tea processing, right from Tea Gardens to your Tea Cups. With the brightest coloured tins that neatly lock in the finest flavours from our tea gardens, these exotic ten flavours are available in a packaging of 50 gm each and promise to be delightful and refreshing. The range of quality ingredients used in TE-A-ME Tins from among the finest estates will ensure a taste unlike any experienced before. TE-A-ME Earl Grey brings you the premium taste of fine ingredients of bergamot and black tea handpicked from fine tea estates in India. By improving the circulation of the blood, the Tea generates a feeling of freshness and energy. TE-A-ME brings alive a wide spectrum of feelings, through a fascinating range of Iced Brews, Black Tea, Green Teas, Flower and Fruit Infusions. Our Teas are 100% natural, made with nature’s pure ingredients. Crafted by leading tea experts, who blend tea leaves handpicked from among the premium tea estates with select natural ingredients - we bring you the TE-A-ME range. We are part of the Madhu Jayanti Family - a 75-year-old company with a legacy of producing fine teas that are consumed over 10 million times every day across 42 countries. ""

weight: 50g
pack content: 1 Pack 
shelf life: 24 months
storage: Store in Cool, Dry, Hygienic, Airtight container after opening
product dimension:?   ?8.5 x 8.5 x 12.5 cm","EAN Code: 8901035058337  FSSAI Number: 10012031000066  Manufactured & Marketed By: Madhu Jayanti International Ltd. 29 Munshigaunge Road, Kolkata 700023. Country of Origin: India  Best before 22-06-2025  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com",8.90104E+12
Ensure,"Ensure Complete Balanced Nutrition Drink - For Adults, Vanilla Flavour, With Hmb & 32 Nutrients, 1 kg","beverages -> nutrition mix, supplement",975,1,1,kg,"['https://www.bigbasket.com/media/uploads/p/l/273590-2_7-ensure-nutritional-powder-vanilla-flavour.jpg', 'https://www.bigbasket.com/media/uploads/p/l/273590-4_6-ensure-nutritional-powder-vanilla-flavour.jpg', 'https://www.bigbasket.com/media/uploads/p/l/273590-6_5-ensure-nutritional-powder-vanilla-flavour.jpg', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7']",https://www.bigbasket.com/pd/273590/ensure-nutritional-powder-vanilla-flavour-1-kg-carton/?nc=cl-prod-list&t_pos_sec=3&t_pos_item=18&t_s=Complete+Balanced+Nutrition+Drink+-+For+Adults%252C+Vanilla+Flavour%252C+With+Hmb+%2526+32+Nutrients,"As you age, you may frequently feel weak & tired due to loss of muscle mass. Ensure Complete, balanced nutrition can help support bone & muscle strength to help you stay strong and active. New Ensure is the only complete, balanced supplement now with HMB to help build and protect muscles.","EAN Code: 8904145912063  Manufactured & Marketed by: Abbott care Pvt Ltd, GIDC, Jhagadia, Bharuch, GujaratÂ   Country of Origin: India  Best before 22-03-2025  Disclaimer: The expiry date shown here is for indicative purposes only. Please refer to the information provided on the product package received at delivery for the actual expiry date.  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email: customerservice@bigbasket. com",8.90415E+12
Sprig Tea,"Sprig Tea TE.A Green Tea - Oriental Ginger With Lime, Rich In Antioxidants & Vitamin C, 17.5 g (25 Sachets x 0.7 g each)",gourmet & world food -> drinks & beverages,219,1,,pc,"['https://www.bigbasket.com/media/uploads/p/l/40191688-2_3-sprig-tea-tea-green-tea-oriental-ginger-with-lime-rich-in-antioxidants-vitamin-c.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40191688-4_4-sprig-tea-tea-green-tea-oriental-ginger-with-lime-rich-in-antioxidants-vitamin-c.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40191688-6_3-sprig-tea-tea-green-tea-oriental-ginger-with-lime-rich-in-antioxidants-vitamin-c.jpg', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7']",https://www.bigbasket.com/pd/40191688/sprig-tea-tea-green-tea-oriental-ginger-with-lime-rich-in-antioxidants-vitamin-c-175-g/?nc=cl-prod-list&t_pos_sec=3&t_pos_item=8&t_s=TE.A+Green+Tea+-+Oriental+Ginger+With+Lime%252C+Rich+In+Antioxidants+%2526+Vitamin+C,"Sprig Green Tea with Oriental Ginger is made from the finest ingredients. It is loaded with antioxidants and nutrients that have powerful effects on the body. Green Tea is the healthiest beverage that is enriched with probiotics. It is made from unoxidized leaves and is one of the less processed types of tea. This green tea has a slight bittersweet and lemony taste. It is filled with many health benefits that help to keep your body healthy. It has been shown to improve blood flow and lower cholesterol.
Benefits

All Natural, No Preservatives.
Helps improving Fat Burning.
Rich in Antioxidants and Vitamin C.",,
Mojoco,"Mojoco Coconut Water, 6 x 1 L Multipack",beverages -> fruit juices & drinks,900,6,1,L,['https://www.bigbasket.com/media/uploads/p/l/1222982_1-mojoco-coconut-water.jpg'],https://www.bigbasket.com/pd/1222982/mojoco-coconut-water-6-x-1-l-tetra-pack/?nc=cl-prod-list&t_pos_sec=3&t_pos_item=9&t_s=Coconut+Water,This 100 % Tender Coconut water is one of the healthiest beverages. It supports rapid hydration with its essential electrolytes. It also helps in digestion. It helps in reducing blood pressure. It is a great beverage option after prolonged exercise.,"EAN Code: 1222982  Country of origin: India FSSAI Number: 10012022000475  Manufactured & marketed by:Habhit Wellness Pvt Ltd, Plot No A 149, MIDC, Dombivali E, Thane - 421203  Best Before __PSL__days from the date of delivery  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034 | Email: customerservice@bigbasket.com",1222982
Tetley,"Tetley Green Tea Immune With Added Vitamin C - Natural Mango, 37.5 g (25 Bags x 1.5 g each)",beverages -> tea,139.4,1,,pc,"['https://www.bigbasket.com/media/uploads/p/l/40196552-2_3-tetley-green-tea-immune-with-added-vitamin-c-natural-mango.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40196552-4_3-tetley-green-tea-immune-with-added-vitamin-c-natural-mango.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40196552-6_2-tetley-green-tea-immune-with-added-vitamin-c-natural-mango.jpg', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7']",https://www.bigbasket.com/pd/40196552/tetley-green-tea-immune-with-added-vitamin-c-natural-mango-375-g/?nc=cl-prod-list&t_pos_sec=3&t_pos_item=4&t_s=Green+Tea+Immune+With+Added+Vitamin+C+-+Natural+Mango,"Tetley Green Tea is undoubtedly an excellent source of anti-oxidants. All the goodness now comes with the immunity power of added Vitamin C with the new Tetley Green Tea Immune Range. While anti-oxidants help cleanse your body from within, Vitamin C helps support your body immune system. This green tea with no calories provides many more benefits like boosting fat metabolism, helping to stay hydrated and helping to feel light and active. Driven by sustainability, these green tea bags are 100% plastic-free and staple-free. The naturally sweet mango contains 100% natural flavours. #A cup of green tea contains as much as 5 times (5X) the anti-oxidants in an apple. (USDA Database for the Flavonoid Content of Selected Foods, Rel 3. 3 March 2018)","EAN Code: 89010520022106 Country of origin: India FSSAI Number: 10014031001025 Manufactured & Marketed By: Tata Global Beverages Ltd. , 3rd Floor, Block C, Kirloskar Business Park, Hebbal, Bengaluru, Karnataka 560024 Best before 04-12-2024 For Queries/Feedback/Complaints, Contact our Customer Care Executive at:Phone:1860 123 1000 | Address:Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore-560016, Email:customerservice@bigbasket. com",8.90105E+13
Blue Bird,"Blue Bird Iced Tea - Peach, Refreshing & Flavourful, Instant Drink, 400 g",beverages -> energy & soft drinks,131.25,1,,pc,"['https://www.bigbasket.com/media/uploads/p/l/40262963-2_1-blue-bird-iced-tea-peach-refreshing-flavourful-instant-drink.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40262963-4_1-blue-bird-iced-tea-peach-refreshing-flavourful-instant-drink.jpg', 'https://www.bigbasket.com/media/uploads/p/l/40262963-6_1-blue-bird-iced-tea-peach-refreshing-flavourful-instant-drink.jpg', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7']",https://www.bigbasket.com/pd/40262963/blue-bird-iced-tea-peach-refreshing-flavourful-instant-drink-400-g/?nc=cl-prod-list&t_pos_sec=3&t_pos_item=39&t_s=Iced+Tea+-+Peach%252C+Refreshing+%2526+Flavourful%252C+Instant+Drink,"The Blue Bird Iced Tea Peach is a refreshing and healthy beverage for your daily consumption during hot summer days. Enjoy this cool drink as a mocktail for pool parties or serve them to your guests during family gatherings. 



Peach tea contains powerful antioxidants that can help to fight the signs of ageing skin. The vitamins and minerals in this tea can also be linked to supporting good cardiac health. Peach tea also boasts a good amount of calcium and fluoride for dental and bone health and aids in healthy digestion. Other than the health benefits, it's a coveted drink during fasting to keep you energetic and refreshed all day. Enjoy this easy to make fruit drink to beat the heat this summer. Add a sliced lemon while preparing to achieve a zesty flavour. 



Explore the range of products offered by Blue Bird including Penne Pasta, Iced Lemon Tea, Cooker Cake Mix and more, on Big Basket.","EAN Code: 40262963  FSSAI No: 10017022006130  Manufactured & Marketed by:Blue Bird Foods India Pvt Ltd

Gujarat Agro Infrastructure Mega Food Park, 

Plot No B-40,

Village Shah & Vasravi , Mangrol, Surat - 394421 Country of origin: India   Best before 22-12-2024   For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com",40262963
Horlicks,"Horlicks Womens Nutrition Drink- Caramel Flavour, 2 x 400 g Multipack","beverages -> nutrition mix, supplement",646.1,2,400,g,"['data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7', 'https://www.bigbasket.com/media/uploads/p/l/1205829_1-horlicks-womens-horlicks-health-nutrition-drink-caramel-flavor.jpg']",https://www.bigbasket.com/pd/1205829/horlicks-womens-horlicks-health-nutrition-drink-caramel-flavor-2-x-400g-jar/?nc=cl-prod-list&t_pos_sec=3&t_pos_item=13&t_s=Womens+Nutrition+Drink-+Caramel+Flavour,Horlicks Women Nutrition Drink is a cereal based beverage. Specialized nutrition for women. Contains nutrients important for bone . Womens Horlicks contains 100% RDA of Calcium for strong bones. Also contains 100% RDA of Vitamin D for calcium absorption.,"EAN Code: 1205829  Country of origin: India  Manufacturer Name & Address : GSK CH India, NH16, Dowlaiswaram Industrial Estate, Industrial Estate, Dowlaiswaram, Rajahmundry, Andhra Pradesh  Best before 22-12-2024  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 |Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 | Email: customerservice@bigbasket. com",1205829
